personId,season,salaryInDollars
1629162,2022,2160000
1630201,2022,2145720
1630560,2022,2138160
1628436,2022,2133278
1627814,2022,2133278
1629308,2022,2133278
1630217,2022,2130240
1630531,2022,2125200
1630549,2022,2109480
1628396,2022,2036318
1628373,2022,2036318
1629026,2022,2000000
1629726,2022,2000000
1631119,2022,2000000
1631216,2022,2000000
1630526,2022,2000000
1629003,2022,1997718
1628410,2022,1968175
1628988,2022,1968175
1629139,2022,1968175
1629033,2022,1968175
1628418,2022,1968175
1629006,2022,1968175
1629234,2022,1968175
1629655,2022,1930681
1629611,2022,1930681
1629731,2022,1930681
1629669,2022,1930681
1629675,2022,1930681
1629667,2022,1930681
1629002,2022,1910860
1628432,2022,1902133
1629644,2022,1902133
1629681,2022,1901625
1629117,2022,1878720
203648,2022,1878720
1629021,2022,1878720
1628966,2022,1878720
1629052,2022,1846738
1630198,2022,1836090
1630264,2022,1836090
1630233,2022,1836090
1628382,2022,1836090
1627853,2022,1836090
1629750,2022,1815677
1629622,2022,1815677
1629216,2022,1815677
1630208,2022,1782621
1630205,2022,1782621
1630179,2022,1782621
1630214,2022,1782621
1630230,2022,1782621
1630194,2022,1782621
1630200,2022,1782621
1629312,2022,1752638
1630209,2022,1752638
1630195,2022,1709300
1630678,2022,1703902
1630215,2022,1674655
1630579,2022,1639842
1630573,2022,1637966
1630556,2022,1637966
1630225,2022,1575000
1630249,2022,1563518
1630550,2022,1563518
1630250,2022,1563518
1630554,2022,1563518
1630598,2022,1563518
1630570,2022,1563518
1630245,2022,1563518
1630587,2022,1563518
1630227,2022,1563518
1630559,2022,1563518
1630631,2022,1563518
1630540,2022,1563518
1629111,2022,1563518
1630625,2022,1563518
1631132,2022,1500000
1631121,2022,1461055
202339,2022,1300000
1630692,2022,1280206
1631113,2022,1200000
203943,2022,1160955
1630572,2022,1116112
1630241,2022,1105522
1629015,2022,1068200
1631213,2022,1017781
1630702,2022,1017781
1631157,2022,1017781
1631108,2022,1017781
1631169,2022,1017781
1631133,2022,1017781
1630647,2022,1013119
1627739,2022,1000001
202713,2022,999200
1629678,2022,877940
1630551,2022,853241
1630243,2022,838891
1629650,2022,824041
1630346,2022,806097
